통계표,계정항목,단위,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02,2026/03,2026/04
"1.3.3.2.2. 예금은행 대출금리(잔액 기준)","    기업대출 2)","연리%","원자료","2.84","2.84","2.84","2.83","2.81","2.79","2.79","2.81","2.86","2.91","3.00","3.07","3.15","3.23","3.30","3.38","3.48","3.62","3.78","4.00","4.24","4.54","4.87","5.13","5.24","5.24","5.23","5.20","5.21","5.23","5.26","5.27","5.28","5.29","5.31","5.31","5.29","5.24","5.18","5.13","5.08","5.03","4.99","4.94","4.89","4.85","4.82","4.78","4.72","4.64","4.54","4.46","4.38","4.30","4.25","4.20","4.16","4.14","4.15","4.18","4.20","4.21","4.22","4.24"
"1.3.3.2.2. 예금은행 대출금리(잔액 기준)","    가계대출 2)","연리%","원자료","2.76","2.76","2.76","2.75","2.74","2.74","2.75","2.78","2.81","2.86","2.93","3.01","3.09","3.18","3.25","3.33","3.42","3.52","3.64","3.80","3.98","4.18","4.43","4.66","4.84","4.95","5.01","5.04","5.06","5.05","5.03","5.03","5.04","5.06","5.08","5.08","5.07","5.03","5.00","4.96","4.92","4.87","4.82","4.78","4.74","4.71","4.70","4.67","4.64","4.61","4.57","4.53","4.48","4.43","4.39","4.36","4.33","4.31","4.31","4.31","4.33","4.35","4.37","4.39"
